Date,1Y Swap,2Y Swap,3Y Swap,4Y Swap,5Y Swap,7Y Swap,10Y Swap,30Y Swap
7/6/1998,5.785,5.805,5.815,5.845,5.865,5.905,5.955,6.03
7/7/1998,5.775,5.815,5.855,5.865,5.885,5.925,5.985,6.06
7/8/1998,5.795,5.825,5.855,5.87,5.89,5.935,5.99,6.08
7/9/1998,5.785,5.795,5.82,5.84,5.865,5.905,5.96,6.07
7/10/1998,5.775,5.785,5.805,5.845,5.865,5.915,5.965,6.08
7/13/1998,5.645,5.835,5.855,5.895,5.915,5.965,6.035,6.15
7/14/1998,5.73,5.835,5.865,5.905,5.925,5.975,6.045,6.18
7/15/1998,5.73,5.825,5.855,5.885,5.925,5.975,6.045,6.17
7/16/1998,5.73,5.835,5.865,5.905,5.935,5.995,6.055,6.18
7/17/1998,5.73,5.835,5.865,5.905,5.945,5.99,6.065,6.2
7/20/1998,5.73,5.835,5.855,5.885,5.915,5.965,6.025,6.16
7/21/1998,5.785,5.825,5.845,5.875,5.895,5.945,5.995,6.115
7/22/1998,5.795,5.835,5.865,5.895,5.915,5.955,6.02,6.13
7/23/1998,5.795,5.835,5.855,5.875,5.905,5.935,5.995,6.1
7/24/1998,5.795,5.855,5.875,5.905,5.925,5.975,6.015,6.13
7/27/1998,5.795,5.845,5.885,5.905,5.935,5.98,6.025,6.15
7/28/1998,5.795,5.85,5.89,5.915,5.94,5.99,6.045,6.145
7/29/1998,5.73,5.895,5.915,5.935,5.975,6.025,6.075,6.21
7/30/1998,5.815,5.885,5.9,5.935,5.955,6.005,6.055,6.17
7/31/1998,5.805,5.875,5.905,5.925,5.955,6.005,6.045,6.16
8/3/1998,5.815,5.845,5.875,5.895,5.91,5.955,6.005,6.11
8/4/1998,5.805,5.795,5.815,5.845,5.875,5.925,5.975,6.085
8/5/1998,5.775,5.825,5.855,5.875,5.91,5.96,6.01,6.13
8/6/1998,5.775,5.82,5.865,5.885,5.91,5.96,6.025,6.15
8/7/1998,5.765,5.78,5.815,5.845,5.88,5.925,5.995,6.115
8/10/1998,5.75,5.775,5.81,5.845,5.875,5.935,5.995,6.11
8/11/1998,5.66,5.76,5.8,5.83,5.875,5.93,6.01,6.12
8/12/1998,5.725,5.745,5.765,5.81,5.86,5.925,6,6.11
8/13/1998,5.705,5.795,5.83,5.875,5.915,5.975,6.05,6.15
8/14/1998,5.615,5.74,5.79,5.83,5.87,5.94,6.01,6.095
8/17/1998,5.71,5.745,5.785,5.83,5.88,5.94,6.03,6.11
8/18/1998,5.64,5.76,5.825,5.86,5.9,5.975,6.05,6.13
8/19/1998,5.725,5.77,5.81,5.865,5.895,5.975,6.05,6.145
8/20/1998,5.725,5.76,5.805,5.86,5.895,5.975,6.05,6.13
8/21/1998,5.65,5.675,5.73,5.815,5.86,5.94,6.04,6.145
8/24/1998,5.655,5.69,5.745,5.805,5.875,5.965,6.09,6.23
8/25/1998,5.675,5.66,5.715,5.78,5.86,5.945,6.06,6.215
8/26/1998,5.67,5.615,5.68,5.735,5.79,5.91,6,6.2
8/27/1998,5.635,5.515,5.575,5.635,5.71,5.785,5.91,6.14
8/28/1998,5.5,5.48,5.55,5.62,5.67,5.77,5.885,6.135
8/31/1998,5.52,5.355,5.42,5.49,5.595,5.69,5.805,6.05
9/1/1998,5.44,5.46,5.525,5.605,5.67,5.765,5.885,6.125
9/2/1998,5.48,5.47,5.525,5.595,5.655,5.745,5.85,6.055
9/3/1998,5.54,5.445,5.49,5.55,5.62,5.7,5.8,6.02
9/4/1998,5.47,5.43,5.475,5.535,5.595,5.675,5.78,6.015
9/7/1998,5.42,5.43,5.48,5.54,5.59,5.67,5.78,6
9/8/1998,5.435,5.405,5.425,5.56,5.57,5.665,5.78,6.03
9/9/1998,5.44,5.26,5.39,5.41,5.425,5.525,5.655,5.935
9/10/1998,5.32,5.15,5.18,5.28,5.31,5.41,5.57,5.93
9/11/1998,5.22,5.19,5.235,5.32,5.39,5.51,5.65,5.975
9/14/1998,5.25,5.215,5.255,5.315,5.38,5.495,5.66,5.97
9/15/1998,5.13,5.235,5.285,5.36,5.405,5.535,5.68,6
9/16/1998,5.145,5.235,5.275,5.355,5.415,5.515,5.66,5.965
9/17/1998,5.175,5.18,5.225,5.285,5.34,5.455,5.61,5.94
9/18/1998,5.26,5.165,5.185,5.26,5.29,5.39,5.535,5.915
9/21/1998,5.205,5.16,5.195,5.26,5.32,5.405,5.54,5.925
9/22/1998,5.245,5.16,5.195,5.275,5.33,5.43,5.56,5.92
9/23/1998,5.17,5.045,5.1,5.18,5.23,5.345,5.505,5.93
9/24/1998,5.115,4.95,5,5.075,5.165,5.28,5.425,5.875
9/25/1998,4.995,4.925,4.975,5.055,5.125,5.225,5.385,5.85
9/28/1998,5.28,4.945,4.99,5.075,5.135,5.25,5.4,5.865
9/29/1998,5.035,4.945,4.975,5.055,5.135,5.24,5.37,5.825
9/30/1998,4.97,4.785,4.815,4.94,5.02,5.105,5.215,5.745
10/1/1998,4.95,4.725,4.745,4.825,4.915,5.02,5.17,5.68
10/2/1998,4.85,4.745,4.78,4.86,4.935,5.04,5.17,5.68
