Date,wti_future,brent_future,dollar_spread,wti_future_rets,brent_future_rets,spread_rets
2009-02-24,39.96,42.5,-2.539999999999999,0.039542143600416316,0.036838253232495684,0.002703890367920632
2009-02-25,42.5,44.29,-1.7899999999999991,0.06356356356356355,0.04211764705882351,0.021445916504740037
2009-02-26,45.22,46.51,-1.2899999999999991,0.06399999999999997,0.05012418153081957,0.013875818469180401
2009-02-27,44.76,46.35,-1.5900000000000034,-0.010172490048651058,-0.003440120404214074,-0.006732369644436984
2009-03-02,40.15,42.21,-2.0600000000000023,-0.10299374441465593,-0.08932038834951457,-0.013673356065141362
2009-03-03,41.65,43.7,-2.0500000000000043,0.03735990037359901,0.035299692016109975,0.0020602083574890323
2009-03-04,45.38,46.12,-0.7399999999999949,0.08955582232893167,0.055377574370709254,0.03417824795822241
2009-03-05,43.61,43.64,-0.030000000000001137,-0.03900396650506838,-0.05377276669557669,0.014768800190508316
2009-03-06,45.52,44.85,0.6700000000000017,0.04379729419857839,0.02772685609532541,0.016070438103252982
2009-03-09,47.07,44.13,2.9399999999999977,0.03405096660808429,-0.016053511705685593,0.050104478313769886
2009-03-10,45.71,43.96,1.75,-0.028893137879753547,-0.003852254702016807,-0.025040883177736742
2009-03-11,42.33,41.4,0.9299999999999997,-0.07394443229052729,-0.0582347588717016,-0.01570967341882569
2009-03-12,47.03,45.09,1.9399999999999977,0.11103236475313023,0.08913043478260882,0.021901929970521414
2009-03-13,46.25,44.93,1.3200000000000003,-0.016585158409525857,-0.0035484586382790793,-0.013036699771246777
2009-03-16,47.35,43.98,3.3700000000000045,0.023783783783783815,-0.02114400178054758,0.0449277855643314
2009-03-19,51.61,50.67,0.9399999999999977,0.07208142916493558,0.06315568610994556,0.008925743054990026
2009-03-24,53.98,53.5,0.4799999999999969,0.003345724907063192,0.0005610622779128696,0.0027846626291503224
2009-03-25,52.77,51.75,1.0200000000000031,-0.022415709522045087,-0.03271028037383177,0.010294570851786686
2009-03-26,54.34,53.46,0.8800000000000026,0.029751752889899567,0.033043478260869584,-0.0032917253709700174
2009-03-27,52.38,51.98,0.4000000000000057,-0.036069193963930817,-0.027684249906472204,-0.008384944057458613
2009-03-30,48.41,47.99,0.4199999999999946,-0.07579228713249343,-0.07676029242016151,0.0009680052876680778
2009-03-31,49.66,49.23,0.4299999999999997,0.025821111340632103,0.025838716399249735,-1.760505861763198e-05
2009-04-01,48.39,48.44,-0.04999999999999716,-0.025573902537253244,-0.016047125736339613,-0.009526776800913631
2009-04-02,52.64,52.75,-0.10999999999999943,0.08782806364951436,0.08897605284888527,-0.0011479891993709107
2009-04-03,52.51,53.47,-0.9600000000000009,-0.002469604863221933,0.013649289099526046,-0.016118893962747977
2009-04-06,51.05,52.24,-1.1900000000000048,-0.0278042277661398,-0.023003553394426723,-0.004800674371713078
2009-04-07,49.15,51.22,-2.0700000000000003,-0.037218413320274216,-0.019525267993874485,-0.01769314532639973
2009-04-08,49.38,51.59,-2.210000000000001,0.004679552390640976,0.007223740726278886,-0.00254418833563791
2009-04-09,52.24,54.06,-1.8200000000000003,0.057918185500202495,0.04787749563868964,0.010040689861512853
2009-04-13,50.05,52.14,-2.0900000000000034,-0.041921898928024594,-0.035516093229744757,-0.006405805698279837
2009-04-14,49.41,51.96,-2.5500000000000043,-0.0127872127872128,-0.003452243958573067,-0.009334968828639732
2009-04-15,49.25,51.79,-2.539999999999999,-0.0032382108884840438,-0.0032717474980754756,3.353660959143183e-05
2009-04-20,45.88,49.86,-3.979999999999997,-0.0884164514206238,-0.06541705716963453,-0.022999394250989277
2009-04-23,49.62,50.11,-0.490000000000002,0.015762538382804423,0.006022886970487797,0.009739651412316627
2009-04-24,51.55,51.67,-0.12000000000000455,0.038895606610237804,0.03113151067651172,0.007764095933726085
2009-04-27,50.14,50.32,-0.17999999999999972,-0.027352085354025155,-0.026127346622798555,-0.0012247387312265996
2009-04-28,49.92,49.99,-0.07000000000000028,-0.004387714399680871,-0.006558028616852112,0.0021703142171712415
2009-04-29,50.97,50.78,0.18999999999999773,0.02103365384615379,0.015803160632126407,0.005230493214027382
2009-04-30,51.12,50.8,0.3200000000000003,0.0029429075927015613,0.00039385584875927573,0.0025490517439422855
2009-05-01,53.2,52.85,0.3500000000000014,0.040688575899843614,0.040354330708661505,0.0003342451911821087
2009-05-04,54.47,54.58,-0.10999999999999943,0.023872180451127743,0.03273415326395453,-0.008861972812826784
2009-05-05,53.84,54.12,-0.27999999999999403,-0.011565999632825326,-0.008427995602784918,-0.0031380040300404075
2009-05-06,56.34,56.15,0.19000000000000483,0.04643387815750371,0.03750923872875095,0.00892463942875276
2009-05-07,56.71,56.47,0.240000000000002,0.00656727014554486,0.0056990204808548585,0.0008682496646900016
2009-05-08,58.63,58.14,0.490000000000002,0.033856462704990334,0.029573224721090877,0.004283237983899457
2009-05-11,58.5,57.48,1.0200000000000031,-0.002217294900221773,-0.011351909184726585,0.009134614284504811
2009-05-12,58.85,57.94,0.9100000000000037,0.005982905982906008,0.008002783576896327,-0.0020198775939903194
2009-05-13,58.02,57.34,0.6799999999999997,-0.014103653355989775,-0.0103555402140144,-0.003748113141975375
