Dates,PX_LAST
1994-09-19,19.180000000000106
1994-09-20,19.2100000000001
1994-09-21,19.120000000000104
1994-09-22,19.570000000000107
1994-09-23,19.730000000000103
1994-09-26,19.570000000000107
1994-09-27,19.450000000000102
1994-09-28,19.580000000000105
1994-09-29,19.880000000000102
1994-09-30,20.290000000000106
1994-10-03,20.090000000000103
1994-10-04,19.980000000000103
1994-10-05,19.910000000000103
1994-10-06,20.150000000000105
1994-10-07,20.160000000000103
1994-10-10,19.8900000000001
1994-10-11,19.6000000000001
1994-10-12,19.090000000000103
1994-10-13,19.0300000000001
1994-10-14,18.870000000000104
1994-10-17,18.9600000000001
1994-10-18,19.120000000000104
1994-10-19,19.320000000000107
1994-10-20,19.440000000000104
1994-10-21,19.5700000000001
1994-10-24,19.480000000000103
1994-10-25,19.6100000000001
