,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,1377Q,1463Q,1581Q,1683997D,1727044D,1727044D,1715651D,1704453D,1715651D,1715651D,1715651D,1719868D,1752754D,3022239Q,9876544D,A,ADBE,ADM,AEE,ADSK,AFL,AIZ,ALL,AMD,AMG,AME,AMT
36,140402Q,1511Q,1618Q,1684442D,1752754D,1746513D,1719868D,1715651D,1719868D,1719868D,1719868D,1746513D,1810430D,3286728Q,9876566D,AA,ADI,ADP,AEP,AEE,AGN,AKAM,ALLE,AME,AMGN,AMGN,AMZN
37,1423Q,1513Q,162007Q,1697067D,1778808D,1752754D,1746513D,1719868D,1746513D,1746513D,1746513D,1752754D,1812212D,3393199Q,9990302D,AAPL,ADM,ADSK,AES,AEP,AIG,ALL,ALXN,AMG,AMP,AMP,ANET
38,1436513D,1558530D,1621582D,1704453D,1789494D,1778808D,1752754D,1746513D,1752754D,1752754D,1752754D,1831877D,1831877D,3423152Q,9995522D,ABC,ADP,AEE,AET,AES,AIV,ALLE,AMAT,AMGN,AMT,AMT,ANSS
39,1455Q,1567Q,1627457D,1715651D,1799685D,1789494D,1789494D,1752754D,1799685D,1799685D,1799685D,1837572D,1856613D,3517233Q,A,ABT,ADSK,AEP,AFL,AET,AIZ,ALXN,AME,AMP,AMZN,AMZN,ANTM
40,1456Q,1581Q,1649858D,1727044D,1822785D,1799685D,1799685D,1799685D,1822785D,1822785D,1825471D,1856613D,1858968D,5656565D,AA,ADBE,AEE,AES,AGN,AFL,AKAM,AMAT,AMG,AMT,ANET,ANET,AON
41,1463Q,1618Q,1680Q,1752754D,1825471D,1822785D,1822785D,1822785D,1825471D,1825471D,1831877D,1858968D,2307532Q,8277831Q,AAPL,ADI,AEP,AET,AIG,AGN,ALL,AME,AMGN,AMZN,ANSS,ANSS,AOS
42,1511Q,162007Q,1683997D,1778808D,183291Q,1825471D,1825471D,1825471D,1831877D,1831877D,1837572D,2307532Q,2641504Q,8394653Q,ABC,ADM,AES,AFL,AIV,AIG,ALLE,AMG,AMP,ANDV,ANTM,ANTM,APD
43,1513Q,1621582D,1684442D,1789494D,1837572D,1837572D,1837572D,1831877D,1837572D,1837572D,1856613D,2641504Q,2942331Q,9876544D,ABT,ADP,AET,AGN,AIZ,AIV,ALXN,AMGN,AMT,ANSS,AON,AON,APH
44,1530Q,1627457D,1697067D,1799685D,222435Q,2269312Q,1858968D,1837572D,1856613D,1856613D,1858968D,2942331Q,2968900Q,9876566D,ACAS,ADSK,AFL,AIG,AKAM,AIZ,AMAT,AMP,AMZN,ANTM,AOS,AOS,APTV
