,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
224,CMCSK,COST,CPPRQ,D,DOV,EMN,EMR,ETN,EQR,ESRX,FDX,FNMA,FNMA,GME,HAL,GWW,HAR,GT,HAR,HBAN,HES,HOT,HON,HOG,HP,HON,HPE
225,CMI,CPB,CR,DALRQ,DRI,EMR,ENRNQ,ETR,ETN,ETN,FE,FSH,FTRCQ,GNW,HAR,HAL,HAS,GWW,HAS,HCBK,HIG,HP,HP,HOLX,HPE,HP,HPQ
226,CNP,CPPRQ,CSC,DCNAQ,DTE,ENRNQ,EOG,EXC,ETR,ETR,FHI,FSL/B,GD,GOOGL,HAS,HAR,HBAN,HAL,HBAN,HD,HOG,HPE,HPE,HON,HPQ,HPE,HRL
227,CNW,CR,CSCO,DDS,DUK,EP,EP,F,EXC,EXC,FHN,FTRCQ,GE,GPC,HBAN,HAS,HCBK,HAR,HCBK,HES,HON,HPQ,HPQ,HP,HRB,HPQ,HSIC
228,COST,CSC,CSX,DE,ECL,ETN,ETN,FBF,F,F,FISV,GD,GENZ,GPS,HCBK,HBAN,HD,HAS,HD,HIG,HOT,HRB,HRB,HPE,HRL,HRB,HST
229,CPB,CSCO,CTB,DEC,ED,ETR,ETR,FCX,FBF,FBF,FITB,GDT,GILD,GR,HD,HCBK,HES,HBAN,HES,HOG,HP,HRL,HRL,HPQ,HSIC,HRL,HSY
230,CPPRQ,CSX,CVS,DIS,EFX,ETS,ETS,FDO,FCX,FCX,FLR,GDW,GIS,GS,HES,HD,HIG,HCBK,HIG,HON,HPQ,HSIC,HSIC,HRB,HST,HSIC,HUM
231,CR,CTB,CVX,DJ,EHC,EXC,EXC,FDX,FDO,FDO,FMCC,GE,GL,GT,HIG,HES,HNZ,HD,HNZ,HOT,HRB,HST,HST,HRL,HSY,HST,HWM
232,CSC,CVGYQ,D,DLX,EIX,F,F,FE,FDX,FDX,FNMA,GENZ,GLW,GWW,HNZ,HIG,HOG,HES,HOG,HP,HRL,HSY,HSY,HSIC,HUM,HSY,IBM
233,CSCO,CVS,DALRQ,DOV,EKDKQ,FBF,FBF,FISV,FE,FE,FSH,GILD,GNW,HAL,HOG,HNZ,HON,HIG,HON,HPQ,HSP,HUM,HUM,HST,HWM,HUM,ICE
234,CSX,CVX,DCNAQ,DRI,EMC,FCX,FCX,FITB,FHN,FHI,FSL/B,GIS,GOOGL,HAR,HON,HOG,HOT,HNZ,HOT,HRB,HST,IBM,HWM,HSY,IBM,HWM,IDXX
235,CTB,D,DDS,DTE,EMN,FDX,FDX,FLR,FISV,FHN,FTRCQ,GL,GPC,HAS,HOT,HON,HP,HOG,HP,HRL,HSY,ICE,IBM,HUM,ICE,IBM,IEX
236,CVGYQ,DALRQ,DE,DUK,EMR,FE,FE,FMC,FITB,FISV,GD,GLW,GPS,HBAN,HPQ,HOT,HPQ,HON,HPQ,HSP,HUM,IFF,ICE,HWM,IDXX,ICE,IFF
237,CVS,DCNAQ,DEC,ECL,ENRNQ,FITB,FITB,FMCC,FLR,FITB,GDT,GNW,GR,HCBK,HRB,HPQ,HRB,HOT,HRB,HST,IBM,ILMN,IFF,IBM,IFF,IDXX,ILMN
238,CVX,DDS,DIS,ECO,ETN,FJ,FLR,FNMA,FMCC,FLR,GDW,GPC,GS,HD,HSH,HRB,HRL,HP,HRL,HSY,ICE,INTC,ILMN,ICE,ILMN,IEX,INCY
239,D,DE,DJ,ED,ETR,FLTWQ,FMC,FTRCQ,FNMA,FMCC,GE,GPS,GT,HES,HSP,HRL,HSH,HPQ,HSP,HUM,IFF,INTU,INTC,IDXX,INCY,IFF,INFO
240,DALRQ,DEC,DLX,EFX,ETS,FMC,FMCC,GD,FTRCQ,FNMA,GENZ,GR,GWW,HET,HST,HSH,HSP,HRB,HST,IBM,INTC,IP,INTU,IFF,INFO,ILMN,INTC
241,DCNAQ,DIS,DOV,EHC,EXC,FMCC,FNMA,GDT,GD,FTRCQ,GILD,GS,HAL,HIG,HSY,HSP,HST,HRL,HSY,ICE,INTU,IPG,IP,ILMN,INTC,INCY,INTU
242,DDS,DJ,DRI,EIX,F,FNMA,GBLXQ,GDW,GDT,GD,GIS,GT,HAR,HNZ,HUM,HST,HSY,HSH,HUM,IFF,IP,IRM,IPG,INCY,INTU,INFO,IP
243,DE,DLX,DTE,EKDKQ,FBF,FPC,GD,GE,GDW,GDT,GL,GTW,HAS,HOG,IBM,HSY,HUM,HSP,IBM,INTC,IPG,ISRG,IRM,INFO,IP,INTC,IPG
244,DEC,DOV,DUK,EMC,FCX,FWLT,GDT,GENZ,GE,GDW,GLW,GWW,HBAN,HON,ICE,HUM,IBM,HST,ICE,INTU,IRM,ITW,ISRG,INTC,IPG,INTU,IPGP
245,DIS,DRI,ECL,EMN,FDX,GAPTQ,GDW,GIS,GENZ,GE,GPC,HAL,HD,HOT,IFF,IBM,ICE,HSY,IFF,IP,ISRG,IVZ,ITW,INTU,IPGP,IP,IQV
246,DJ,DTE,ECO,EMR,FE,GBLXQ,GE,GL,GIS,GENZ,GPS,HAS,HES,HPC,INTC,ICE,IFF,HUM,INTC,IPG,ITW,J,IVZ,IP,IQV,IPG,IR
247,DLX,DUK,ED,ENRNQ,FITB,GD,GIS,GLW,GL,GIS,GR,HBAN,HET,HPQ,INTU,IFF,INTC,IBM,INTU,IRM,IVZ,JBHT,J,IPG,IRM,IPGP,IRM
248,DOV,ECL,EIX,ETN,FJ,GDT,GL,GOLD,GLW,GL,GS,HD,HIG,HRB,IP,INTC,INTU,ICE,IP,ISRG,J,JCI,JBHT,IQV,ISRG,IQV,ISRG
249,DTE,ECO,EKDKQ,ETR,FL,GDW,GLW,GPC,GPC,GLW,GT,HES,HMA,HSH,IPG,INTU,IP,IFF,IPG,ITW,JCI,JEF,JCI,IRM,IT,IRM,IT
250,DUK,ED,EMC,ETS,FLTWQ,GE,GOLD,GPS,GPS,GPC,GTW,HET,HNZ,HSP,ISRG,IP,IPG,INTC,IRM,IVZ,JEF,JNJ,JEF,ISRG,ITW,ISRG,ITW
251,ECL,EIX,EMN,EXC,FMC,GIS,GPC,GR,GR,GPS,GWW,HIG,HOG,HST,ITT,IPG,IRM,INTU,ISRG,J,JNJ,JNPR,JNJ,IT,IVZ,IT,IVZ
252,ECO,EKDKQ,EMR,F,FMCC,GL,GPS,GT,GS,GR,HAL,HMA,HON,HSY,ITW,IRM,ISRG,IP,ITW,JBL,JNPR,JPM,JNPR,ITW,J,ITW,J
253,ED,EMN,ENRNQ,FBF,FNMA,GLW,GPUI,GTW,GT,GS,HAS,HNZ,HOT,HUM,IVZ,ISRG,ITT,IPG,IVZ,JCI,JOY,JWN,JPM,IVZ,JBHT,IVZ,JBHT
254,EIX,EMR,ETN,FCX,FTLAQ,GOLD,GR,GWW,GTW,GT,HBAN,HOG,HPC,IBM,J,ITT,ITW,IRM,J,JEF,JPM,K,JWN,J,JCI,J,JCI
255,EKDKQ,ENRNQ,ETR,FDX,FWLT,GPC,GT,HAL,GWW,GTW,HD,HON,HPQ,ICE,JAVA,ITW,IVZ,ISRG,JBL,JNJ,JWN,KDP,K,JBHT,JEF,JBHT,JKHY
256,EMN,ETN,ETS,FE,GAPTQ,GPS,GTW,HAS,HAL,GWW,HES,HOT,HRB,IFF,JBL,IVZ,J,ITW,JCI,JNPR,K,KEY,KDP,JCI,JKHY,JCI,JNJ
257,EMR,ETR,EXC,FITB,GD,GPUI,GWW,HBAN,HAS,HAL,HET,HPC,HSH,INTC,JCI,J,JBL,IVZ,JEF,JOY,KDP,KHC,KEY,JEF,JNJ,JKHY,JNPR
258,ENRNQ,ETS,F,FJ,GDT,GR,HAL,HD,HBAN,HAS,HIG,HPQ,HSP,INTU,JEF,JAVA,JCI,J,JNJ,JPM,KEY,KIM,KHC,JNJ,JNPR,JNJ,JPM
259,ETN,EXC,FBF,FL,GDW,GRA,HAS,HES,HD,HBAN,HMA,HRB,HSY,IP,JNJ,JBL,JEF,JBL,JNPR,JWN,KIM,KLAC,KIM,JNPR,JPM,JNPR,K
260,ETR,F,FCX,FLTWQ,GE,GT,HBAN,HET,HES,HD,HNZ,HSH,HUM,IPG,JNPR,JEF,JNJ,JCI,JOY,K,KLAC,KMB,KLAC,JPM,JWN,JPM,KEY
261,EXC,FBF,FDX,FMC,GIS,GTW,HD,HIG,HET,HES,HOG,HSP,IBM,ITT,JNS,JNJ,JNPR,JEF,JPM,KDP,KMB,KMI,KMB,JWN,K,JWN,KEYS
262,F,FBO,FITB,FMCC,GL,GWW,HES,HMA,HIG,HET,HON,HSY,IFF,ITW,JNY,JNPR,JNS,JNJ,JWN,KEY,KMI,KMX,KMI,K,KEY,K,KHC
263,FBF,FCX,FJ,FNMA,GLW,HAL,HET,HNZ,HMA,HIG,HOT,HUM,INTC,J,JPM,JNS,JPM,JNPR,K,KIM,KMX,KO,KMX,KDP,KEYS,KEY,KIM
264,FBO,FDX,FL,FTLAQ,GOLD,HAS,HIG,HOG,HNZ,HMA,HPC,IBM,INTU,JAVA,JWN,JPM,JWN,JOY,KDP,KLAC,KO,KR,KO,KEY,KHC,KEYS,KLAC
265,FDX,FFB,FLMIQ,FWLT,GPC,HBAN,HM,HON,HOG,HNZ,HPQ,IFF,IP,JBL,K,JWN,K,JPM,KEY,KMB,KR,KSS,KR,KHC,KIM,KHC,KMB
266,FFB,FJ,FLTWQ,GAPTQ,GPS,HD,HNZ,HOT,HON,HOG,HRB,INTC,IPG,JCI,KBH,K,KDP,JWN,KIM,KMI,KRFT,KSU,KSS,KIM,KLAC,KIM,KMI
267,FJ,FL,FMC,GD,GPUI,HES,HOG,HPC,HOT,HON,HSH,INTU,ITT,JEF,KDP,KDP,KEY,K,KLAC,KMX,KSS,L,KSU,KLAC,KMB,KLAC,KMX
268,FL,FLMIQ,FMCC,GDT,GR,HET,HON,HPQ,HPC,HOT,HSP,IP,ITW,JNJ,KEY,KEY,KIM,KDP,KMB,KO,KSU,LEG,L,KMB,KMI,KMB,KO
269,FLMIQ,FLTWQ,FNMA,GDW,GRA,HIG,HOT,HRB,HPQ,HPC,HSY,IPG,JAVA,JNPR,KG,KG,KLAC,KEY,KMI,KR,L,LEN,LEG,KMI,KMX,KMI,KR
270,FLTWQ,FMC,FTLAQ,GE,GT,HM,HPC,HSH,HRB,HPQ,HUM,ITT,JBL,JNS,KIM,KIM,KMB,KIM,KMX,KRFT,LEG,LH,LEN,KMX,KO,KMX,KSU
271,FMC,FMCC,FWLT,GFS/A,GTW,HNZ,HPQ,HSY,HSH,HRB,IBM,ITW,JCI,JNY,KLAC,KLAC,KMX,KLAC,KO,KSS,LEN,LHX,LH,KO,KR,KO,L
272,FMCC,FNMA,GAPTQ,GIS,GWW,HON,HRB,HUM,HSY,HSH,IFF,JAVA,JNJ,JPM,KMB,KMB,KO,KMB,KR,KSU,LH,LLL,LHX,KR,KSS,KR,LDOS
273,FNMA,FTLAQ,GD,GL,HAL,HPC,HSH,IBM,HUM,HSY,INTC,JBL,JNPR,JWN,KO,KO,KR,KMX,KRFT,L,LHX,LLTC,LKQ,KSS,KSU,KSS,LEG
274,FWLT,FWLT,GDT,GLW,HAS,HPQ,HSY,IFF,IBM,HUM,INTU,JCI,JNS,K,KR,KR,KSS,KO,KSS,LEG,LLL,LLY,LLL,KSU,L,KSU,LEN
275,GAPTQ,GAPTQ,GDW,GOLD,HBAN,HRB,HUM,IMNX,IFF,IBM,IP,JNJ,JNY,KATE,KSS,KSS,L,KR,L,LEN,LLTC,LM,LLTC,L,LEG,L,LH
276,GD,GD,GE,GPC,HD,HSH,IBM,INCLF,INTC,IFF,IPG,JNS,JPM,KBH,L,L,LDOS,KSS,LDOS,LH,LLY,LMT,LLY,LEG,LEN,LDOS,LHX
277,GDW,GDW,GFS/A,GPS,HES,HSY,IFF,INTC,INTU,INTC,ITT,JNY,JWN,KEY,LEG,LDOS,LEG,L,LEG,LHX,LM,LNC,LMT,LEN,LH,LEG,LIN
278,GE,GE,GIDL,GPUI,HET,HUM,INCLF,INTU,IP,INTU,ITW,JPM,K,KG,LEN,LEG,LEN,LDOS,LEN,LLL,LMT,LOW,LNC,LH,LHX,LEN,LKQ
279,GFS/A,GFS/A,GIS,GR,HIG,IBM,INTC,IP,IPG,IP,JAVA,JWN,KATE,KIM,LH,LEN,LH,LEG,LH,LLTC,LNC,LRCX,LNT,LHX,LIN,LH,LLY
280,GIDL,GIDL,GL,GT,HM,IFF,INTU,IPG,ITT,IPG,JBL,K,KBH,KLAC,LHX,LH,LHX,LEN,LHX,LLY,LO,LUMN,LOW,LKQ,LKQ,LHX,LMT
281,GIS,GIS,GLW,GWW,HNZ,IKN,IP,ITT,ITW,ITT,JCI,KATE,KEY,KMB,LLL,LHX,LLL,LH,LLL,LM,LOW,LUV,LRCX,LLL,LLL,LIN,LNC
282,GL,GL,GOLD,HAL,HON,INCLF,IPG,ITW,JAVA,ITW,JNJ,KBH,KG,KO,LLTC,LLL,LLTC,LHX,LLTC,LMT,LRCX,LVLT,LUMN,LLY,LLY,LKQ,LNT
283,GLW,GLW,GPC,HAS,HP,INTC,ITT,JAVA,JBL,JAVA,JNS,KEY,KIM,KR,LLY,LLTC,LLY,LLL,LLY,LNC,LUMN,LYB,LUV,LMT,LMT,LLY,LOW
284,GOLD,GOLD,GPS,HBAN,HPC,IP,ITW,JBL,JCI,JBL,JNY,KG,KLAC,KSS,LM,LLY,LM,LLTC,LM,LO,LUV,M,LVLT,LNC,LNC,LMT,LRCX
285,GOSHA,GPC,GPUI,HD,HPQ,IPG,JAVA,JCI,JHF,JCI,JPM,KLAC,KMB,L,LMT,LM,LMT,LLY,LMT,LOW,LVLT,MA,LYB,LNT,LNT,LNC,LUMN
286,GPC,GPS,GR,HES,HRB,ITT,JCI,JHF,JNJ,JHF,JWN,KMB,KO,LEG,LNC,LMT,LNC,LM,LNC,LRCX,LYB,MAC,M,LOW,LOW,LNT,LUV
287,GPS,GPUI,GT,HET,HRZIQ,ITW,JNJ,JNJ,JNS,JNJ,K,KO,KR,LEHMQ,LO,LNC,LO,LMT,LO,LUMN,M,MAR,MA,LRCX,LRCX,LOW,LVS
288,GR,GR,GWW,HIG,HSH,JAVA,JNS,JNS,JNY,JNS,KATE,KR,KSE,LEN,LOW,LO,LOW,LNC,LOW,LUV,MA,MAS,MAA,LUMN,LUMN,LRCX,LW
289,GT,GT,HAL,HM,HSY,JCI,JPM,JNY,JPM,JNY,KBH,KRB,KSS,LH,LUMN,LOW,LUMN,LO,LRCX,LYB,MAC,MAT,MAC,LUV,LUV,LUMN,LYB
290,GWW,GWW,HAS,HNZ,HUM,JNJ,JWN,JPM,JWN,JPM,KEY,KRI,L,LLL,LUV,LUMN,LUV,LOW,LUMN,M,MAR,MCD,MAR,LYB,LW,LUV,LYV
291,HAL,HAL,HD,HON,IBM,JOSEA,K,JWN,K,JWN,KG,KSE,LEG,LLTC,LXK,LUV,LXK,LUMN,LUV,MA,MAS,MCHP,MAS,M,LYB,LVS,MA
292,HAS,HAS,HES,HP,IFF,JPM,KATE,K,KATE,K,KLAC,KSS,LEHMQ,LLY,M,LXK,M,LUV,LYB,MAC,MAT,MCK,MAT,MA,M,LW,MAA
293,HD,HD,HET,HPC,IKN,JWN,KBH,KATE,KBH,KATE,KMB,L,LEN,LM,MA,M,MA,LXK,M,MAR,MCD,MCO,MCD,MAA,MA,LYB,MAR
294,HDLM,HDLM,HFS,HPQ,INCLF,K,KEY,KBH,KEY,KBH,KO,LEG,LH,LMT,MAR,MA,MAR,M,MA,MAS,MCHP,MDLZ,MCHP,MAC,MAA,LYV,MAS
295,HES,HES,HIG,HRB,INTC,KATE,KG,KEY,KG,KEY,KR,LEHMQ,LLL,LNC,MAS,MAR,MAS,MA,MAR,MAT,MCK,MDT,MCK,MAR,MAC,M,MCD
296,HET,HET,HM,HRZIQ,IP,KBH,KLAC,KG,KLAC,KG,KRB,LEN,LLTC,LOW,MAT,MAS,MAT,MAR,MAS,MCD,MCO,MET,MCO,MAS,MAR,MA,MCHP
297,HM,HIG,HNZ,HSH,IPG,KEY,KMB,KLAC,KMB,KLAC,KRI,LH,LLY,LUMN,MBI,MAT,MCD,MAS,MAT,MCHP,MDLZ,MHK,MDLZ,MAT,MAS,MAA,MCK
298,HNZ,HM,HON,HSY,ITT,KLAC,KMRTQ,KMB,KO,KMB,KSE,LLL,LM,LUV,MCD,MCD,MCHP,MAT,MCD,MCK,MDT,MJN,MDT,MCD,MAT,MAR,MCO
299,HON,HNZ,HP,HUM,ITW,KMB,KO,KMRTQ,KR,KO,KSS,LLTC,LMT,LXK,MCHP,MCHP,MCK,MCD,MCHP,MCO,MET,MKC,MET,MCHP,MCD,MAS,MDLZ
300,HP,HON,HPC,IBM,JAVA,KMRTQ,KR,KO,KRB,KR,L,LLY,LNC,M,MCK,MCK,MCO,MCHP,MCK,MDLZ,MHK,MLM,MHK,MCK,MCHP,MCD,MDT
301,HPC,HP,HPQ,IFF,JCI,KO,KRB,KR,KRI,KRB,LEG,LMT,LOW,MAR,MCO,MCO,MDLZ,MCK,MCO,MDT,MJN,MMC,MJN,MCO,MCK,MCHP,MET
302,HPQ,HPC,HRB,IKN,JNJ,KR,KRI,KRB,KSE,KRI,LEHMQ,LNC,LUMN,MAS,MDLZ,MDLZ,MDP,MCO,MDLZ,MET,MKC,MMM,MKC,MDLZ,MCO,MCK,MGM
303,HRB,HPQ,HRZIQ,INCLF,JOSEA,KRB,KSE,KRI,KSS,KSE,LH,LOW,LUV,MAT,MDP,MDP,MDT,MDLZ,MDT,MHK,MLM,MNKKQ,MLM,MDT,MDLZ,MCO,MHK
304,HRZIQ,HRB,HSH,INTC,JPM,KRI,KSS,KSE,L,KSS,LLL,LPX,LXK,MBI,MDT,MDT,MEE,MDT,MET,MJN,MMC,MNST,MMC,MET,MDT,MDLZ,MKC
305,HSH,HRZIQ,HSY,IP,JWN,KSS,L,KSS,LEG,L,LLTC,LUMN,M,MCD,MEE,MEE,MET,MET,MJN,MKC,MMM,MO,MMM,MGM,MET,MDT,MKTX
306,HSY,HSH,HUM,IPG,K,KSU,LDG,L,LEHMQ,LEG,LLY,LUV,MAR,MCHP,MER,MET,MFE,MHS,MKC,MMC,MNKKQ,MOS,MNKKQ,MHK,MGM,MET,MLM
307,HTMXQ,HSY,IBM,ITT,KATE,L,LEG,LEG,LLTC,LEHMQ,LMT,LXK,MAS,MCK,MET,MFE,MHS,MJN,MMC,MMM,MO,MPC,MNST,MKC,MHK,MGM,MMC
308,IBM,HUM,IFF,ITW,KBH,LDG,LEHMQ,LEHMQ,LLY,LLTC,LNC,M,MAT,MCO,MFE,MHS,MI,MKC,MMM,MO,MOS,MRK,MO,MLM,MKC,MHK,MMM
309,IFF,IBM,IKN,JAVA,KEY,LEG,LLTC,LLTC,LMT,LLY,LOW,MAR,MBI,MDLZ,MHS,MI,MJN,MMC,MO,MOS,MPC,MRO,MOS,MMC,MLM,MKC,MNST
310,IKN,IFF,INCLF,JCI,KLAC,LEHMQ,LLY,LLY,LNC,LMT,LPX,MAS,MCD,MDP,MI,MJN,MKC,MMM,MOLX,MPC,MRK,MS,MPC,MMM,MMC,MKTX,MO
311,INCLF,IKN,INTC,JH,KMB,LLY,LMT,LMT,LOW,LNC,LUMN,MAT,MCK,MDT,MKC,MKC,MMC,MO,MOS,MRK,MRO,MSFT,MRK,MNST,MMM,MLM,MOS
312,INTC,INCLF,IP,JNJ,KMRTQ,LMT,LNC,LNC,LPX,LOW,LUV,MBI,MCO,MER,MMC,MMC,MMM,MOLX,MPC,MRO,MS,MSI,MRO,MO,MNST,MMC,MPC
313,IP,INTC,IPG,JOSEA,KO,LNC,LOW,LOW,LUMN,LPX,LXK,MCD,MDP,MET,MMM,MMM,MO,MOS,MRK,MS,MSFT,MTB,MS,MOS,MO,MMM,MRK
314,IPG,IP,ITT,JPM,KR,LOW,LPX,LPX,LUV,LUMN,M,MCK,MDT,MHS,MO,MO,MOLX,MPC,MRO,MSFT,MSI,MU,MSFT,MPC,MOS,MNST,MRO
315,ITT,IPG,ITW,JWN,KRB,LPX,LUMN,LUMN,LXK,LUV,MAR,MCO,MEDI,MI,MOLX,MOLX,MRK,MRK,MS,MSI,MTB,MUR,MSI,MRK,MPC,MO,MS
316,ITW,ITT,JAVA,K,KRI,LUMN,LUV,LUV,M,LXK,MAS,MDP,MEL,MKC,MRK,MRK,MRO,MRO,MSFT,MTB,MU,MYL,MTB,MRO,MRK,MOS,MSCI
317,JAVA,ITW,JCI,KATE,KSS,LUV,LXK,LXK,MAR,M,MAT,MDT,MER,MMC,MRO,MRO,MS,MS,MSI,MU,MUR,NAVI,MTD,MS,MRO,MPC,MSFT
318,JCI,JAVA,JH,KBH,L,LXK,M,M,MAS,MAR,MBI,MEDI,MET,MMM,MS,MS,MSFT,MSFT,MTB,MUR,MWV,NBL,MU,MSFT,MS,MRK,MSI
319,JH,JCI,JNJ,KEY,LDG,M,MAR,MAR,MAT,MAS,MCD,MEL,MHS,MO,MSFT,MSFT,MSI,MSI,MU,MWV,MYL,NDAQ,MUR,MSI,MSCI,MRO,MTB
320,JNJ,JH,JOSEA,KLAC,LDWIF,MAR,MAS,MAS,MBI,MAT,MCK,MER,MI,MOLX,MSI,MSI,MTB,MTB,MUR,MYL,NAVI,NEE,MYL,MTB,MSFT,MS,MTD
321,JOSEA,JNJ,JPM,KMB,LEHMQ,MAS,MAT,MAT,MCD,MBI,MCO,MERQ,MKC,MRK,MTB,MTB,MU,MU,MWV,NBL,NBL,NEM,NAVI,MTD,MSI,MSCI,MU
322,JPM,JOSEA,JWN,KMRTQ,LHX,MAT,MBI,MBI,MCK,MCD,MDP,MET,MMC,MRO,MTLQQ,MU,MUR,MUR,MYL,NBR,NBR,NFLX,NBL,MU,MTB,MSFT,MXIM
323,JWN,JPM,K,KO,LLY,MBI,MCD,MCD,MCO,MCK,MDT,MHS,MMM,MS,MTW,MUR,MWV,MWV,NBL,NDAQ,NDAQ,NFX,NDAQ,MYL,MTD,MSI,NCLH
324,K,JWN,KATE,KR,LMT,MCD,MCK,MCK,MDP,MCO,MEDI,MI,MO,MSFT,MU,MWV,MWW,MYL,NBR,NEBLQ,NEBLQ,NI,NEE,NAVI,MU,MTB,NDAQ
325,KATE,K,KBH,KRB,LNC,MCK,MCO,MCO,MDRIQ,MDP,MEL,MKC,MOLX,MSI,MUR,MWW,MYL,NBL,NDAQ,NEE,NEE,NKE,NEM,NBL,MXIM,MTD,NEE
326,KBH,KATE,KEY,KRI,LOW,MCO,MDP,MDP,MDT,MDT,MER,MMC,MRK,MTB,MWV,MYL,NBL,NBR,NEBLQ,NEM,NEM,NLOK,NFLX,NCLH,MYL,MU,NEM
327,KEY,KBH,KMB,L,LPX,MDP,MDRIQ,MDRIQ,MEDI,MEDI,MERQ,MMM,MRO,MTG,MWW,NBL,NBR,NDAQ,NEE,NFLX,NFLX,NLSN,NFX,NDAQ,NBL,MXIM,NFLX
328,KMB,KEY,KMRTQ,LDG,LUV,MDRIQ,MDT,MDT,MEL,MEL,MET,MO,MS,MTLQQ,MYL,NBR,NDAQ,NEBLQ,NEM,NFX,NFX,NOC,NI,NEE,NCLH,MYL,NI
329,KMRTQ,KMB,KO,LDWIF,M,MDT,MEDI,MEDI,MER,MER,MHS,MOLX,MSFT,MTW,NBL,NDAQ,NEE,NEE,NFLX,NI,NI,NOV,NKE,NEM,NDAQ,NBL,NKE
330,KO,KMRTQ,KR,LHX,MAR,MEE,MEL,MEL,MERQ,MERQ,MI,MRK,MSI,MU,NBR,NEE,NEM,NEM,NFX,NKE,NKE,NRG,NLOK,NFLX,NEE,NCLH,NLOK
331,KR,KO,KRB,LLY,MAS,MEL,MER,MER,MET,MET,MKC,MRO,MTB,MUR,NCC,NEM,NFLX,NFLX,NI,NLOK,NLOK,NSC,NLSN,NFX,NEM,NDAQ,NLSN
332,KRB,KR,KRI,LMT,MAT,MER,MERQ,MERQ,MI,MHS,MMC,MS,MTG,MWV,NDAQ,NI,NFX,NFX,NKE,NOC,NOC,NTAP,NOC,NI,NFLX,NEE,NOC
333,KRI,KRB,L,LNC,MBI,MKG,MET,MET,MIRKQ,MI,MMM,MSFT,MTLQQ,MWW,NEBLQ,NKE,NI,NI,NLOK,NOV,NOV,NTRS,NOV,NKE,NFX,NEM,NOV
334,LDG,KRI,LDG,LOW,MCD,MMC,MMC,MIRKQ,MMC,MKC,MO,MSI,MU,MYL,NEE,NLOK,NKE,NKE,NOC,NRG,NRG,NUE,NRG,NLOK,NI,NFLX,NOW
335,LHX,L,LDWIF,LPX,MCO,MMM,MMM,MMC,MMM,MMC,MOLX,MTB,MUR,NBL,NEM,NOC,NLOK,NLOK,NOV,NSC,NSC,NVDA,NSC,NLSN,NKE,NI,NRG
336,LLX,LDG,LHX,LUV,MDP,MO,MO,MMM,MO,MMM,MRK,MTG,MWV,NBR,NI,NOV,NOC,NOC,NRG,NTAP,NTAP,NWL,NTAP,NOC,NKTR,NKE,NSC
337,LLY,LDWIF,LLX,M,MDRIQ,MOLX,MOLX,MO,MOLX,MO,MRO,MTLQQ,MWW,NCC,NKE,NOVL,NOV,NOV,NSC,NTRS,NTRS,NWS,NTRS,NOV,NLOK,NLOK,NTAP
338,LNC,LHX,LLY,MAS,MDT,MRK,MRK,MOLX,MRK,MOLX,MS,MU,MXIM,NEBLQ,NLOK,NSC,NOVL,NRG,NTAP,NUE,NUE,NWSA,NUE,NRG,NLSN,NLSN,NTRS
339,LOW,LLX,LMT,MAT,MEE,MRO,MRO,MRK,MRO,MRK,MSFT,MUR,MYL,NEE,NOC,NTAP,NRG,NSC,NTRS,NVDA,NVDA,O,NVDA,NSC,NOC,NOC,NUE
340,LPX,LLY,LNC,MBI,MEL,MS,MS,MRO,MS,MRO,MSI,MWV,NBR,NEM,NOV,NTRS,NSC,NTAP,NUE,NWL,NWL,OI,NWL,NTAP,NOV,NOV,NVDA
341,LUB,LMT,LOW,MCD,MER,MSFT,MSFT,MS,MSFT,MS,MTB,MWW,NCC,NI,NOVL,NUE,NTAP,NTRS,NVDA,NWSA,NWSA,OKE,NWS,NTRS,NRG,NOW,NVR
342,LUV,LNC,LPX,MDP,MKG,MSI,MSI,MSFT,MSI,MSFT,MTG,MXIM,NCR,NKE,NSC,NVDA,NTRS,NUE,NWL,OI,OI,OMC,NWSA,NUE,NSC,NRG,NWL
343,MAS,LOW,LUB,MDRIQ,MMC,MTG,MTG,MSI,MTG,MSI,MTLQQ,MYL,NEBLQ,NLOK,NTAP,NWL,NUE,NVDA,NYX,OKE,OKE,ORCL,O,NVDA,NTAP,NSC,NWS
344,MAT,LPX,LUV,MDT,MMM,MTLQQ,MTLQQ,MTG,MTLQQ,MTG,MU,NAV,NEE,NOC,NTRS,NYT,NVDA,NWL,OI,OMC,OMC,ORLY,OKE,NWL,NTRS,NTAP,NWSA
345,MCD,LUB,M,MEE,MO,MU,MU,MTLQQ,MU,MTLQQ,MWV,NBR,NEM,NOV,NUE,NYX,NWL,NYX,OKE,ORCL,ORCL,OXY,OMC,NWS,NUE,NTRS,O
346,MDP,LUV,MAS,MEL,MRK,MZIAQ,MXIM,MU,MWV,MU,MWW,NCC,NI,NOVL,NVDA,OI,NYX,OI,OMC,ORLY,ORLY,PAYX,ORCL,NWSA,NVDA,NUE,ODFL
347,MDRIQ,M,MAT,MER,MRO,NAV,NAV,MWW,MWW,MWV,MXIM,NCR,NKE,NSC,NWL,OMC,OI,OKE,ORCL,OXY,OXY,PBCT,ORLY,O,NWL,NVDA,OKE
